Roll_Rate_x	Pitch_Rate_y	Yaw_Rate_z	Latitude	Longitude	Altidude	Barometric_Pressure	a_x	a_y	a_z	Heading	v_x	v_y	v_z	Status	PosU	VelU	PITCH	ROLL	YAW
0.001	0.0	0.001	0.0	0.0	0.0	0.0032064	0.067	0.016	-9.319	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.54
0.0	0.001	0.0	0.0	0.0	0.0	0.0032064	0.06	0.001	-9.31	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.54
0.001	0.002	0.0	0.0	0.0	0.0	0.0006527999999999999	0.049	0.01	-9.347	-1.23	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.54
0.0	0.001	0.0	0.0	0.0	0.0	0.0026496	0.095	0.018000000000000002	-9.322000000000001	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.54
0.001	0.001	0.0	0.0	0.0	0.0	-0.0027968	0.078	0.008	-9.322000000000001	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.54
-0.001	0.0	0.0	0.0	0.0	0.0	0.0026496	0.081	0.026000000000000002	-9.337	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.54
0.0	-0.002	0.0	0.0	0.0	0.0	0.0026496	0.067	-0.001	-9.34	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.55
-0.001	-0.005	0.0	0.0	0.0	0.0	0.0032064	0.042	0.011	-9.311	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.55
-0.001	-0.007	0.001	0.0	0.0	0.0	-0.0013503999999999999	0.06	0.024	-9.301	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.55
-0.002	-0.005	0.0	0.0	0.0	0.0	0.0026496	0.06	-0.004	-9.312	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.37	-0.08	65.55
0.0	-0.005	0.001	0.0	0.0	0.0	0.0026496	0.056	0.0	-9.347	-1.23	0.0	0.0	0.0	128	0.0	0.0	0.36	-0.08	65.55
-0.001	-0.003	-0.001	0.0	0.0	0.0	0.0026496	0.074	0.007	-9.315	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.36	-0.09	65.55
0.0	-0.005	0.0	0.0	0.0	0.0	0.0026496	0.058	0.021	-9.309000000000001	-1.27	0.0	0.0	0.0	128	0.0	0.0	0.35000000000000003	-0.09	65.55
0.0	-0.004	0.0	0.0	0.0	0.0	0.0007551999999999999	0.065	-0.007	-9.27	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.55
-0.001	-0.002	0.0	0.0	0.0	0.0	0.0006527999999999999	0.06	-0.003	-9.315	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.55
0.0	-0.002	0.0	0.0	0.0	0.0	0.0025407999999999997	0.065	0.01	-9.285	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.55
0.0	0.0	0.001	0.0	0.0	0.0	-0.0027968	0.049	0.014	-9.292	-1.27	0.0	0.0	0.0	128	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	0.0	0.0	0.0	0.0	0.0	-0.0007999999999999999	0.036000000000000004	0.001	-9.312	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	0.001	0.0	0.0	0.0	0.0	-0.0012416	0.066	0.007	-9.305	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	0.0	0.0	0.0	0.0	0.0	0.0032064	0.063	0.044	-9.31	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	0.0	0.0	0.0	0.0	0.0	0.0026496	0.048	0.004	-9.337	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	-0.001	0.0	0.0	0.0	0.0	-0.0013503999999999999	0.073	0.029	-9.325000000000001	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	0.0	0.0	0.0	0.0	0.0	0.0006527999999999999	0.069	0.013000000000000001	-9.332	-1.23	0.0	0.0	0.0	128	0.0	0.0	0.34	-0.09	65.56
0.0	0.0	0.0	0.0	0.0	0.0	-0.0027968	0.069	0.013000000000000001	-9.306000000000001	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	0.0	0.0	0.0	0.0	0.0	-0.0027968	0.067	0.029	-9.315	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.34	-0.09	65.56
0.0	0.0	0.0	0.0	0.0	0.0	-0.0012416	0.039	0.016	-9.329	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.34	-0.09	65.56
0.0	0.0	0.001	0.0	0.0	0.0	0.0026496	0.08700000000000001	0.005	-9.329	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	0.001	0.0	0.0	0.0	0.0	0.0026496	0.081	0.006	-9.322000000000001	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	0.001	0.001	0.0	0.0	0.0	-0.0013503999999999999	0.047	0.025	-9.319	-1.27	0.0	0.0	0.0	128	0.0	0.0	0.35000000000000003	-0.09	65.56
0.0	0.0	0.001	0.0	0.0	0.0	0.0032064	0.061	-0.005	-9.324	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.35000000000000003	-0.09	65.57000000000001
0.0	0.0	0.0	0.0	0.0	0.0	0.0026496	0.069	0.018000000000000002	-9.325000000000001	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.35000000000000003	-0.09	65.57000000000001
